commentBody,DisplayName,Latitude,Location,Longitude,Status_Accepted,UserComments,UserID,ApproveDate,CommentSequence,EditorsSelection,NumberofRecords,RecommendationCount,TimesPeople,ArticleRelevance,AVGcommentspermonth,AVGBrevity,AVGPersonalXP,AVGPicks,AVGReadability,AVGRecommendationScore,Brevity,ConversationalRelevance,PersonalXP,Readability,RecommendationScore
"Those stats can be circular. For example, if 5 innocent blacks in the area of a shooting are arrested but no whites near a white shooting are, you get a bloated black arrestee rate.  Your \""4% of shooters \"" should be \""4% of shooter suspects.\""  <br/><br/>Wasn\'t there a white NYPD detective (Italian surnamed) who received an award for a very high rate of solving crimes who was discovered several years ago to have falsified a lot of evidence and/or forced false confessions from suspects?  Weren\'t most of those wrongfully convicted by his fake evidence black?  <br/><br/>Justice projects in many states have found faked evidence or false testimony that has wrongfully convicted innocent people, mostly black and Hispanic men.  ",Honolulu,21.304547,honolulu,-157.855676,approved,api.nytimes.com/svc/community/v2/comments/user/id/20316895.xml,20316895,"1,423,839,799","14,124,905",0,1,3,1,25.35938512,8.476913073,12.09755118,24.12867874,0,23.39431299,6.35951189,41.90140845,46.58885606,0,61.04783599,17.43104403
"I was \'a love child\' and I haven\'t killed anyone lately.  But, then again, cops don\'t pull guns on me for no reason except I\'m reaching for my wallet.  When I walk down the streets I don\'t have car alarms beeping nervously shut.  I think not having married parents is not half as rough as no one having any money and learning to hustle and hold drugs on the street for the older kids because you won\'t get charged as an adult.  But, if I had not married an African American woman and had a son with her, would I be thinking as seriously and as objectively about such matters?  I\'d probably be generalizing along with the bulk of our society.  We have a really tangled ball of confusion on this one, that is for certain.",Carl Hu,21.304547,Honolulu,-157.855676,approved,api.nytimes.com/svc/community/v2/comments/user/id/62375296.xml,62375296,"1,423,771,123","14,119,139",1,1,105,1,6.932259269,0.093937423,26.57681941,40.81199904,42.85714294,39.34134402,45.37815126,49.64788732,18.4265453,38.46153846,55.5808656,73.84168974
"\""It\'s hard to hate up close\"". That says it all and more engagement with the community is what is needed.",Jay Nair,22.351115,India,78.667743,approved,api.nytimes.com/svc/community/v2/comments/user/id/32002024.xml,32002024,"1,423,770,335","14,119,047",0,1,7,1,17.51028143,0.200235034,38.18308875,17.33143138,11.11111111,51.04419062,22.16775599,7.042253521,24.43971499,0,14.80637813,30.87462778
Racial bias and hate are the same thing to victim. No need to parse it.,Rich H,24.021519,Phila,32.889036,approved,api.nytimes.com/svc/community/v2/comments/user/id/34131159.xml,34131159,"1,423,768,278","14,118,892",0,1,7,1,11.4006512,0.330400592,13.54790973,23.01845618,5.882352906,25.38635393,19.83852365,4.929577465,16.04878666,0,18.90660592,30.87462778
"Comey has raised the issue in present terms but from an historical perspective white mobs and the authorities have been killing innocent black people with relative impunity since the beginning of American slavery.  The entire system has been stacked against blacks for so long that today\'s murders by police have become by default, acceptable.  The police blame the victims, essentially for being black, which is exactly what Comey just did.   Police who kill unarmed people are frightened and should not be police men.  They are afraid when confronted on the job and most of the time the danger isn\'t real it\'s simply in their own mind.   Being a cop in a gun cornucopia country like America, simply amplify s  their paranoia.   Thanks to the NRA and Congress, America is now a very dangerous place for the police it\'s citizens, and particularly, young black men.",Figaro,25.935688,Marco Island,-81.694897,approved,api.nytimes.com/svc/community/v2/comments/user/id/56571438.xml,56571438,"1,423,773,716","14,119,932",0,1,9,1,61.48519534,5.636245394,31.7838765,25.18236015,9.350649309,46.58089573,19.40221543,51.76056338,88.77951172,0,62.41457859,34.86208805
"African American crime is so disproportionate compared to other races, the heuristics officers fall back are in line with the chance of threat. Here in Cincinnati, there is an newly remodeled area, over the rhine, which at one point was one of the most dangerous areas in the country. Now there are half-million dollar condos; a few blocks up, a stark contrast exists: depravity, crime and high African American demographics. <br/><br/>One can see both worlds within 6 blocks of each other. It is affluent, young white couples next to those who have nothing.  I don\'t quite grab my wallet, or open-carry (legal in Ohio) but a group of young black men do make me a bit nervous, so I only carry cash and my driver\'s license. I walked out of a nice restaurant only to be greeted by a group rapping about their \"".35s and drug trade.\"" Get real. Any demograph will be categorized negatively if this is how you portray yourself in public.<br/><br/>Free areas like remodeled parks are used by everyone in the area. If a cop gets a call in the area, the black man will be looked at first. Is this wrong? I don\'t think so. However, roughing anyone up and getting aggressive isn\'t the answer, either.",Scott,27.344215,Cincy,-80.391439,approved,api.nytimes.com/svc/community/v2/comments/user/id/69151106.xml,69151106,"1,423,772,674","14,119,369",0,1,9,1,25.775123,4.847171039,39.80693287,33.74889965,31.39534893,50.31877128,19.750342,76.05633803,36.12008963,11.61387626,69.70387244,34.86208805
"Racial, ethnic, religious bias is obviously a cultural fact that is at the root of many of our social problem. In the case of police activities, the problem is beyond race; it seems that many law enforcement officers cannot tolerate to have their authority questioned. They want immediate submission to their orders. There have been many reported instances of an officer brutalizing or killing a white person who seemed to \""resist arrest\"" or made a \""threatened move\"". The reaction to Ferguson would have much the same if the young man had been white or latino or hindu.",paul mathieu,27.718086,"sun city center, fla.",-82.351759,approved,api.nytimes.com/svc/community/v2/comments/user/id/59309121.xml,59309121,"1,423,847,147","14,126,590",0,1,2,1,72.18310275,2.621301429,48.19241419,26.31852912,13.31058031,64.83791053,18.83155993,33.8028169,56.16722054,3.780068596,49.65831435,10.99776432
"The real problem is still being ignored.  Yes there were problems when most police were white, especially in the south.  That is not the way of  today.  There are police of every color and religion.  The problem in the inner cities are Gangs, and the break down of the family.  The government has aided big time in the break down of the family first by rewarding young women who had illegitimate children with an apartment and money as long as they didn\'t reside or marry the father of the child.  This incentive exploded in the 70s and we are still feeling the angst that has come along with so many broken families.  Then you have illegal immigration that has added fuel to that system and encouraged the \""gang\"" culture in the cities. There are gangs of every color in the cities, but very few families.    Until we treat each other with respect and can stop using politically correct words and speak the truth, it will be hard to fix.  Schools need to teach morals again.( i.e.Little League team)  There are laws and rules and if you don\'t follow them society breaks down. That is why marriage is important.  That is why treating people the way you want or expect to be treated is important. We are responsible for what we become, only us. We have been divided by government instead of united by freedom. People are the same everywhere.  We should help our neighbors through our churches or just on our own and not expect the government to do it.  ",joannie175,27.756767,florida,-81.463984,approved,api.nytimes.com/svc/community/v2/comments/user/id/56458590.xml,56458590,"1,423,840,224","14,125,603",0,1,2,1,25.25274895,2.025525689,48.72026253,28.3769331,2.608695603,56.76418801,3.938618926,92.6056338,40.18409112,18.05555545,83.37129841,10.99776432
"@Artemis Platz Your comments are right on point. All people (black, white, Asian, Hispanic etc) discriminate because it is a biological adaptation for your protection to fear the \""other\"". But with training on the part of the police and community outreac",aussiebat,27.756767,Florida,-81.463984,approved,api.nytimes.com/svc/community/v2/comments/user/id/30277668.xml,30277668,"1,423,773,350","14,119,557",0,1,3,1,33.40951382,2.439900966,28.98549062,31.26972137,7.294832707,42.89880598,15.14839978,14.08450704,63.4277431,0,30.523918,17.43104403
"I am not really sure how people are so uninformed that the fact of our inherent tendency for bias is \""unsettling.\"" Bias is at the very core of our humanity and our conscious navigation of the world.<br/><br/>I applaud Mr. Comey for speaking out about how we have to account for these biases by procedure, training, and personal effort. I do object to the equating of racial bias with \""hate.\"" Prejudice and hate are not at all the same things, even in the case of negative prejudice.",Jon,27.756767,Florida,-81.463984,approved,api.nytimes.com/svc/community/v2/comments/user/id/57802593.xml,57802593,"1,423,764,975","14,118,274",0,1,5,1,19.24778496,6.456062904,40.52785264,29.41310656,11.90476201,55.50363449,10.92145191,30.28169014,10.8209675,28.83895114,43.0523918,25.53601793
"Now is the time for Mr. Comey, Mr. de Blasio, Mr. Holder, and others to continue to speak out, to refuse to be silenced.  At this point there has been so much awareness of this situation on the part of black people, so little on the part of white people, and such a complete absence of honest dialogue that there isn\'t any way to begin this conversation without someone coming straight out of their hair == especially white conservatives who just want to shut down the entire conversation because as far as they\'re concerned, if they don\'t experience it, it can\'t possibly matter to anyone.",Katherine Bailey,27.756767,Florida,-81.463984,approved,api.nytimes.com/svc/community/v2/comments/user/id/68623930.xml,68623930,"1,423,772,612","14,119,041",0,1,1,1,47.25374575,1.560806417,22.37945493,29.34278299,8.333333408,35.51401869,13.64379085,37.67605634,40.48832527,0,58.54214123,0
"If you compare the number of violent crimes in NYC to the number of black folks in NYC, it\'s clear that the criminals represent a really tiny fraction of the black folks in NYC.  The vast majority of black folks aren\'t violent and they don\'t deserve to be treated like they are or have it assumed that they are.",Laura,27.756767,Florida,-81.463984,approved,api.nytimes.com/svc/community/v2/comments/user/id/13327168.xml,13327168,"1,423,765,265","14,118,500",0,1,109,1,17.15102389,22.50565894,16.16817398,33.2410046,2.446127102,24.89599153,7.567062935,21.47887324,19.82089487,0,37.35763098,74.43489603
"This sounds right to me. I was in Memphis when the OJ trial happened.  More than one white person told me that they were appalled at what they perceived to be the attitude from some black folks, that they were happy that the black guy got by with something, and had to deliberately think about their black friends to keep from sliding into racism.  If you don\'t have black friends, what do you do?  Of course, the same kind of thing could be true of black folks who don\'t have white friends and nothing to counter bad stereotypes they might be prone to as to how awful we are.",Laura,27.756767,Florida,-81.463984,approved,api.nytimes.com/svc/community/v2/comments/user/id/13327168.xml,13327168,"1,423,765,331","14,118,540",0,1,5,1,26.02441385,22.50565894,16.16817398,33.2410046,2.446127102,24.89599153,7.567062935,38.73239437,34.93618863,23.12312308,49.65831435,25.53601793
"Actually, when you look at the most recent FBI violent crimes statistics,  you will see that black people are ARRESTED for about 32% of violent crimes. That\'s stull is far too high proportionately speaking, but that\'s far from \""well over half.\"" I looked pretty closely, and the FBI doesn\'t maintain data on who actually COMMITS those crimes, because there really is no way to know.<br/><br/>Overstating your case doesn\'t make it true.<br/><br/>The Director\'s point remains valid - your day-in-day-out experience with a group will set your expectations about that group. What is telling is that police don\'t automatically transfer their feelings/perceptions about white criminals to white people as a group in the same way as the Director stated happens for black people.<br/><br/>In the eyes of many, a white criminal is just a criminal, whereas a black criminal is often a stand-in for all black people.<br/><br/>And THAT\'S what has to change.",Brian,27.94776,"Tampa, FL",-82.458444,approved,api.nytimes.com/svc/community/v2/comments/user/id/1516833.xml,1516833,"1,423,773,864","14,120,342",0,1,0,1,46.61485403,0.120776687,42.51572328,18.9296038,24.99999993,61.47455866,27.08333334,57.3943662,76.84703906,2.131782765,72.8929385,0
"True.  The problem is \""the disproportionate crime committed by person of color.\""  That is the problem and how we tackle that problem is the solution. It is a two way street, both sides are at fault.  Police in the United States unlike the rest Western Europe, Canada, Japan, New Zealand and Australia face an armed society.  Their first reaction when encountering aggressive behavior is to apply force.  On the other side is a society that is marginalized (voluntary/involuntary) who believe acting aggressive makes you a \""man.\"" Personally when I am pulled over, I put both hands out the window of my car and I do not make any sudden movements.  It is what it is.   ",John Zotto,28.388172,"Cape Canaveral, Florida",-80.603266,approved,api.nytimes.com/svc/community/v2/comments/user/id/49667260.xml,49667260,"1,423,772,680","14,119,375",0,1,3,1,15.32939443,2.553389959,19.89146211,35.42281532,10.03344481,32.69048436,15.55183947,40.49295775,34.89748631,15.80459758,57.17539863,17.43104403
"Your comments are right on target. If our leaders helped educate the public, especially our young people of all colors and races, about the importance of Comply and Complain most of the tragedies that have recently been criticized as so-called police brutality would not have occurred. Police officers put their lives on the line daily and most operate with the public welfare as their primary concern. In a tense, potentially life-threatening confrontation they have to make split-second decisions to protect both themselves and the public. Everyone needs to be aware of that and Comply and Complain. That way everyone is working together FOR the public welfare.",Anna W.,28.923595,"Nursery, Texas",-97.098599,approved,api.nytimes.com/svc/community/v2/comments/user/id/10445795.xml,10445795,"1,423,845,686","14,126,157",0,1,0,1,38.37807858,0,36.98113208,18.52527229,0,52.02492212,0,38.02816901,40.92015253,6.727828793,52.84738041,0
"Blacks and whites in many deep South communities lived next door to one another many segregated towns. So hate not only can exist in close up living between races but hate or mild prejudice is not the problem of white police bias against blacks. The problem of white police racism Comey addresses is that for innocent blacks the instinctive bias too often triggers the officers\' gun in civilian deaths. No educational program will correct or control a bias so deeply ingrained that most people, whether Rudolph Giuliani or police union head James Lynch, reject.Black police power or local black community control over the community  police hiring and firing is the one and only solution. Anything else like Comey\'s well- meaning opinions offer no immediately practical prescription.",Bayou Houms,29.59577,"Houma, Louisiana",-90.719535,approved,api.nytimes.com/svc/community/v2/comments/user/id/69262930.xml,69262930,"1,423,839,798","14,124,742",0,1,1,1,61.19085911,12.51246478,44.00305966,19.75432496,6.756756907,65.2746204,8.406200318,44.71830986,95.33150124,0,61.04783599,0
"One way to increase local police interactions with their communities is to hire more policemen from their communities, as well as hire more local community prosecutors, court officers, probation staff, and judges from their communities. That Ferguson, Mo., had a 95 percent white law enforcement personnel in a community that was 70 percent black reflected an unjust racial legacy of a racially discriminatory society. And we now see in Ferguson the source of the lingering bias. It was the legislative contortions by whites in both parties defanging the 1960s Civil Rights Bills. It was compromises to pass bills outlawing white privileged status in using the general tax base from all races for white benefit. And that meant the structural bias in public employment could be manipulated in criteria to reflect skewed racial hiring of white police without specifying the race of the applicants. One glaring way to do that was to select applicants based on certification alone from institutions in white majority communities, and to permit hiring of white applicants to the police force from those training institutions in white communities. None of the Civil Rights Bills prohibited all white police enforcement of majority black communities; it was business as usual for the past two centuries. But reforming that racist legacy is long overdue.",Bayou Houms,29.59577,"Houma, Louisiana",-90.719535,approved,api.nytimes.com/svc/community/v2/comments/user/id/69262930.xml,69262930,"1,423,783,830","14,121,709",0,1,3,1,65.99853244,12.51246478,44.00305966,19.75432496,6.756756907,65.2746204,8.406200318,75,70.13442366,1.713395565,88.83826879,17.43104403
"I think that one of the main problems that affects many police officers is the cynicism that they develop from the job.  And another thing is that this doesn\'t just affect one race (though it may be more pronounced for one if the only people they arrest or interact with are of one race), but towards all people in general. I think that a great way to counter this would be for police departments to arrange programs where they schedule each officer to spend a day doing some sort of community service instead of there usual patrol (and pay them normally while they do it). Maybe have it so each officer spends one day every two weeks or so working at a soup kitchen, or working with middle and high school students to build something their school or neighborhood needs, or maybe teaching a free/low price self defense class, or coaching a team at a YMCA or Boys and Girls club. Something that keeps them in contact with the people they serve to help remind them that the true nature of their job isn\'t to stop criminals, but to protect and help the people. It would probably also help them deal with the stress they face from their normal routine.",JSS,29.651907,Gainesville,-82.324798,approved,api.nytimes.com/svc/community/v2/comments/user/id/69635590.xml,69635590,"1,423,847,625","14,127,757",0,1,2,1,44.07936902,0,76.22641509,9.569927329,0,76.63551402,2.941176471,74.64788732,53.22114447,3.442879363,70.8428246,10.99776432
"I\'m greatly impressed by Director Comey\'s speech: intelligence, insight, complexity, good will. Gives me hope.",Jay U,29.795763,"Thibodaux, La",-90.822871,approved,api.nytimes.com/svc/community/v2/comments/user/id/63512222.xml,63512222,"1,423,768,305","14,118,808",0,1,15,1,20.34279894,0.28181227,2.264150943,67.30848912,0,6.645898224,36.27450981,5.633802817,14.44027821,43.13725492,25.28473804,42.96706197
"I find it amazing that how a message is received depends heavily on who delivers  that message.  For example, I Eric Holder would have given the same exact speech, he would have been scorned as a race baiter or something worse. Furthermore, Fox News would have had a field day.  ",Kevin D,29.951919,"Houston, TX",-95.540914,approved,api.nytimes.com/svc/community/v2/comments/user/id/71270740.xml,71270740,"1,423,847,148","14,126,880",0,1,6,1,18.79657158,0,4.528301887,74.43742934,0,8.272758754,2.777777778,17.25352113,9.120099518,14.66666665,39.17995444,28.42880834
I guess we\'ll cross that bridge when we get there.,Kevin D,29.951919,"Houston, TX",-95.540914,approved,api.nytimes.com/svc/community/v2/comments/user/id/71270740.xml,71270740,"1,423,847,147","14,126,758",0,1,0,1,0,0,4.528301887,74.43742934,0,8.272758754,2.777777778,3.521126761,3.459157771,100,9.567198178,0
I think you are correct.,Kevin D,29.951919,"Houston, TX",-95.540914,approved,api.nytimes.com/svc/community/v2/comments/user/id/71270740.xml,71270740,"1,423,849,802","14,129,726",0,1,0,1,0,0,4.528301887,74.43742934,0,8.272758754,2.777777778,1.408450704,5.579327679,73.33333326,9.567198178,0
"Jeff,  Don\'t be stupid.<br/>That was not a strong arm robbery. I was simple theft as the clerk tried to stop him from taking the cigars.  ",Kevin D,29.951919,"Houston, TX",-95.540914,approved,api.nytimes.com/svc/community/v2/comments/user/id/71270740.xml,71270740,"1,423,849,805","14,129,777",0,1,0,1,1.27921063,0,4.528301887,74.43742934,0,8.272758754,2.777777778,9.154929577,4.488481572,13.09523819,28.01822323,0
"Jeff,  Look at the FBI crime stats for the US.  After you look at the crime states and compair the crimes that whites and blacks commit, come back here and let us know.  That garbage you wrote above was base on your opinion.",Kevin D,29.951919,"Houston, TX",-95.540914,approved,api.nytimes.com/svc/community/v2/comments/user/id/71270740.xml,71270740,"1,423,864,009","14,131,933",0,1,1,1,16.14375307,0,4.528301887,74.43742934,0,8.272758754,2.777777778,14.78873239,51.60352162,17.05426358,30.523918,0
Nope!,Kevin D,29.951919,"Houston, TX",-95.540914,approved,api.nytimes.com/svc/community/v2/comments/user/id/71270740.xml,71270740,"1,423,849,797","14,129,618",0,1,2,1,0,0,4.528301887,74.43742934,0,8.272758754,2.777777778,0,0,0,0,10.99776432
"Northstar5,<br/>You have presented a perfect example of an argument presented by a person with racist views.  A KKK member couldn\'t have said it better.",Kevin D,29.951919,"Houston, TX",-95.540914,approved,api.nytimes.com/svc/community/v2/comments/user/id/71270740.xml,71270740,"1,423,863,992","14,131,827",0,1,8,1,24.29289888,0,4.528301887,74.43742934,0,8.272758754,2.777777778,8.802816901,10.07470649,0,28.01822323,32.99329295
"Theresa,<br/>What do your speech pattern and demeanor have to do with you being law abiding or not?",Kevin D,29.951919,"Houston, TX",-95.540914,approved,api.nytimes.com/svc/community/v2/comments/user/id/71270740.xml,71270740,"1,423,849,800","14,129,690",0,1,0,1,12.61043824,0,4.528301887,74.43742934,0,8.272758754,2.777777778,5.985915493,6.110396951,0,14.80637813,0
"Threasa, You don\'t know what direction-perception or opinions are. I only asked you a question about speech pattern and demeanor.  Can answer the question?",Kevin D,29.951919,"Houston, TX",-95.540914,approved,api.nytimes.com/svc/community/v2/comments/user/id/71270740.xml,71270740,"1,423,864,003","14,131,891",0,1,0,1,5.848425103,0,4.528301887,74.43742934,0,8.272758754,2.777777778,8.802816901,7.656257483,14.10256392,28.01822323,0
"Wow. I can\'t believe this is seriously a story in the Times. Yes, we are all humans, we get that. However, there are rules and laws that need to be followed in order to conduct a safe and functioning society. Empathy is important but the statement that the police need to\"" get to know those whom they protect\"" is basically saying that the police are not in touch with humanity; that they are different from other people. I do not believe this to be true at all. Anyone can break the law regardless of race, age or finance. That statement alone creates a seperation between police and civilians which encourages them to de-humanize those whom they \""bring to justice\"" under their superiority.  This is just a mental precedent for police militarization under the guise of democracy.",Cosmickitty,30.271129,Austin,-97.7437,approved,api.nytimes.com/svc/community/v2/comments/user/id/70011941.xml,70011941,"1,423,839,798","14,124,855",0,1,3,1,50.6089078,0,47.9245283,29.47816997,0,59.81308411,4.411764706,48.23943662,57.08673168,10.62801922,58.54214123,17.43104403
"Availability heuristic ==&gt; Confirmation Bias ==&gt; Open hostility ==&gt; Action<br/>I think Director Comey\'s candor is impressive, but we all know where the problem really lies.  Do police forces HIRE people predisposed to racial animus, then train them to further refine it?  Are they aware of the chain of behavioral events listed above and then further exploit that chain?  I think they do, in some places.  Top managers in the Police Department believe that is what key segments of their communities want and expect.",Brian P,30.271129,"Austin, TX",-97.7437,approved,api.nytimes.com/svc/community/v2/comments/user/id/63490497.xml,63490497,"1,423,765,134","14,118,391",0,1,12,1,30.59111103,1.966132114,33.5245283,26.03560429,20.00000012,46.60851505,19.30392157,28.16901408,42.91154151,12.79069769,48.06378132,39.42657266
